time,h_sigma,cycle,spot,dh_fit_dx,delta_time,rms_misfit,segment_id,dh_fit_dy,w_surface_window_final,n_fit_photons,rgt,pflags,h_mean,distance,gt,geometry,lon,lat,x,y,snow_depth,geometry_2
45:28.3,0.031273513,11,1,-0.015987961,104039128.3,0.217754257,245107,0,3,52,387,0,763.2220289,4915293.764,60,POINT (-122.05862419862065 44.156767023713336),-122.0586242,44.15676702,575275.0633,4889715.653,-0.699479916,
45:28.3,0.030817792,11,1,-0.023478889,104039128.3,0.186668778,245107,0,3,37,387,0,762.9036193,4915308.805,60,POINT (-122.0586427950818 44.15690173236666),-122.0586428,44.15690173,575273.405,4889730.598,-0.69904183,
45:27.9,0.049449171,11,2,-0.019000248,104039127.9,0.190264373,245108,0,3,16,387,0,761.4097296,4915308.805,50,POINT (-122.05974706482456 44.156824907514626),-122.0597471,44.15682491,575185.202,4889721.055,-1.57275334,
45:28.3,0.029831651,11,1,-0.006972297,104039128.3,0.165830213,245108,0,3,31,387,0,762.6085105,4915323.846,60,POINT (-122.0586614150335 44.15703644228307),-122.0586614,44.15703644,575271.7448,4889745.543,-0.581613984,
45:28.3,0.03929351,11,1,-0.015786241,104039128.3,0.225680612,245109,0,3,35,387,0,762.4060089,4915338.846,60,POINT (-122.05868000845553 44.15717078352448),-122.05868,44.15717078,575270.0872,4889760.448,-0.729428142,
45:28.3,0.089246362,11,3,-0.074642867,104039128.3,0.282124723,245110,0,3.039255282,10,387,0,493.2414953,4915353.888,40,POINT (-122.0986932197935 44.15452006782356),-122.0986932,44.15452007,572073.758,4889430.186,-0.277517188,
45:28.3,0.041435544,11,1,-0.018896472,104039128.3,0.22096778,245110,0,3,34,387,0,762.1177644,4915353.888,60,POINT (-122.05869856008368 44.157305496058996),-122.0586986,44.1573055,575268.4325,4889775.394,-0.461581269,
45:28.3,0.155852625,11,3,-0.132718999,104039128.3,0.463217917,245113,0,3.439148996,10,387,0,487.4857782,4915414.011,40,POINT (-122.09876411447989 44.155058806408036),-122.0987641,44.15505881,572067.4332,4889489.962,-0.264099687,
45:28.3,0.061490175,11,1,0.029619163,104039128.3,0.281736525,245115,0,3,21,387,0,763.060109,4915459.093,60,POINT (-122.05882264669133 44.15824814870422),-122.0588226,44.15824815,575257.312,4889879.982,-0.504099959,
45:28.3,0.052439194,11,1,0.02489545,104039128.3,0.222334645,245116,0,3,18,387,0,763.4671884,4915474.134,60,POINT (-122.05883916454016 44.15838300351659),-122.0588392,44.158383,575255.8198,4889894.945,-0.551488365,
45:28.3,0.043399153,11,1,0.012118711,104039128.3,0.190409746,245117,0,3,21,387,0,763.7024346,4915489.175,60,POINT (-122.05885561706411 44.158517862050665),-122.0588556,44.15851786,575254.3329,4889909.909,-0.631305647,
45:28.3,0.036723649,11,1,0.022916628,104039128.3,0.182231313,245117,0,3,25,387,0,763.8626647,4915504.217,60,POINT (-122.05887202920746 44.1586527256613),-122.058872,44.15865273,575252.8491,4889924.873,-0.636602925,
45:28.3,0.04009403,11,1,0.020243722,104039128.3,0.199807237,245118,0,3,25,387,0,764.1541773,4915519.217,60,POINT (-122.05888840468748 44.15878722043234),-122.0588884,44.15878722,575251.3688,4889939.797,-0.750913075,
45:28.3,0.056401868,11,1,0.012858969,104039128.3,0.233392512,245119,0,3,18,387,0,764.4234762,4915534.258,60,POINT (-122.05890490366788 44.158922075885286),-122.0589049,44.15892208,575249.8781,4889954.76,-0.698044785,
45:28.0,0.107730084,11,4,-0.051100223,104039128,0.450863778,245120,0,3,24,387,0,476.0221033,4915549.299,30,POINT (-122.10008086229274 44.15619013861578),-122.1000809,44.15619014,571960.764,4889614.467,-0.064352988,
45:28.3,0.077664494,11,1,0.020508759,104039128.3,0.255919151,245120,0,3,11,387,0,764.6702049,4915549.299,60,POINT (-122.05892154113666 44.15905692070883),-122.0589215,44.15905692,575248.3764,4889969.723,-0.928550027,
45:28.3,0.106295445,11,3,-0.032118221,104039128.3,0.289073596,245120,0,3,12,387,0,477.1609746,4915549.299,40,POINT (-122.0989258971211 44.15627089759438),-122.0989259,44.1562709,572053.0211,4889624.449,-1.120336412,
45:28.3,0.046413386,11,3,0.003059987,104039128.3,0.203659772,245120,0,3,20,387,0,476.8288038,4915564.34,40,POINT (-122.09894394253041 44.15640565446812),-122.0989439,44.15640565,572051.4142,4889639.4,-0.667259401,
45:28.3,0.283472449,11,3,0.155299802,104039128.3,0.861039792,245121,0,6.832232223,13,387,0,477.912299,4915579.34,40,POINT (-122.09896156340433 44.15654006828995),-122.0989616,44.15654007,572049.8416,4889654.315,0.294928376,
45:28.3,0.062215993,11,1,0.078208033,104039128.3,0.222828757,245121,0,3,16,387,0,765.7184042,4915579.34,60,POINT (-122.05895527479416 44.15932621199239),-122.0589553,44.15932621,575245.3367,4889999.602,-0.889994229,
45:28.3,0.160543515,11,1,0.119589325,104039128.3,0.348702233,245122,0,3.11024849,14,387,0,767.3830797,4915594.381,60,POINT (-122.05897232456877 44.15946103072261),-122.0589723,44.15946103,575243.8021,4890014.561,0.126365798,
45:28.3,0.026979832,11,1,-0.031640767,104039128.3,0.207079665,245132,0,3,59,387,0,768.3923156,4915789.792,60,POINT (-122.0592120455664 44.16121129208891),-122.059212,44.16121129,575222.4101,4890208.746,-0.460284516,
45:28.3,0.060986677,11,1,-0.01097753,104039128.3,0.243986824,245132,0,3,34,387,0,768.1067572,4915804.833,60,POINT (-122.05923009513933 44.161346039836154),-122.0592301,44.16134604,575220.7957,4890223.696,-0.756340905,
